"City, State",State,City,E,N,A,C,O
"Clinton, Missouri",Clinton,Missouri,0.0,-0.04,0.02,0.02,-0.04
"Clinton, Tennessee",Clinton,Tennessee,0.04,0.02,0.0,-0.0,-0.03
"Clinton, Utah",Clinton,Utah,0.03,0.04,0.05,-0.01,-0.03
"Clio, Michigan",Clio,Michigan,-0.04,0.02,-0.02,0.0,-0.13
"Cloquet, Minnesota",Cloquet,Minnesota,-0.03,0.07,0.04,-0.05,-0.09
"Clover, South Carolina",Clover,South Carolina,-0.01,-0.01,0.01,-0.01,-0.07
"Clovis, California",Clovis,California,-0.02,-0.02,0.06,0.02,0.02
"Clovis, New Mexico",Clovis,New Mexico,-0.06,0.06,-0.0,0.01,-0.1
"Coatesville, Pennsylvania",Coatesville,Pennsylvania,-0.02,0.06,-0.04,-0.06,-0.06
"Cockeysville, Maryland",Cockeysville,Maryland,-0.01,0.02,0.07,-0.0,-0.03
"Cocoa Beach, Florida",Cocoa Beach,Florida,-0.0,-0.04,0.07,0.01,0.02
"Cocoa, Florida",Cocoa,Florida,0.04,0.01,0.06,0.04,0.04
"Coconut Creek, Florida",Coconut Creek,Florida,0.02,0.01,-0.01,-0.04,0.07
"Cody, Wyoming",Cody,Wyoming,-0.02,0.0,0.05,0.01,0.03
"Coeur D'alene, Idaho",Coeur D'alene,Idaho,-0.0,-0.05,0.08,0.02,0.01
"Coffeyville, Kansas",Coffeyville,Kansas,-0.01,0.01,0.01,0.01,0.02
"Cohoes, New York",Cohoes,New York,-0.03,-0.0,0.01,-0.01,-0.03
"Colchester, Connecticut",Colchester,Connecticut,0.01,0.01,0.04,-0.03,0.0
"Colchester, Vermont",Colchester,Vermont,-0.01,0.04,0.06,-0.01,-0.07
"Coldwater, Michigan",Coldwater,Michigan,-0.0,0.04,0.06,-0.0,-0.02
"College Park, Georgia",College Park,Georgia,0.04,-0.1,-0.14,0.0,0.03
"College Park, Maryland",College Park,Maryland,-0.0,0.01,0.02,-0.02,-0.02
"College Point, New York",College Point,New York,-0.03,0.09,-0.07,-0.04,-0.04
"College Station, Texas",College Station,Texas,-0.01,-0.0,0.02,-0.0,0.03
"Collegeville, Pennsylvania",Collegeville,Pennsylvania,-0.02,0.05,-0.01,-0.01,-0.05
"Colleyville, Texas",Colleyville,Texas,0.03,-0.0,0.01,-0.01,-0.02
"Collierville, Tennessee",Collierville,Tennessee,-0.04,-0.04,0.1,0.0,-0.1
"Collinsville, Illinois",Collinsville,Illinois,-0.03,0.1,0.01,0.01,-0.12
"Colonia, New Jersey",Colonia,New Jersey,0.02,-0.03,0.02,-0.01,0.04
"Colonial Heights, Virginia",Colonial Heights,Virginia,-0.01,0.06,0.02,0.03,-0.14
"Colonie, New York",Colonie,New York,0.02,0.04,0.06,-0.01,0.01
"Colorado Springs, Colorado",Colorado Springs,Colorado,-0.05,-0.05,0.07,0.02,0.04
"Colton, California",Colton,California,0.05,-0.02,0.04,-0.04,0.03
"Columbia City, Indiana",Columbia City,Indiana,0.0,0.04,0.01,-0.01,-0.01
"Columbia Falls, Montana",Columbia Falls,Montana,-0.01,0.01,0.04,-0.01,-0.09
"Columbia Heights, Minnesota",Columbia Heights,Minnesota,-0.01,-0.01,0.02,-0.02,-0.03
"Columbia, Illinois",Columbia,Illinois,-0.05,0.07,-0.0,-0.02,-0.0
"Columbia, Maryland",Columbia,Maryland,-0.0,0.03,-0.04,-0.05,-0.01
"Columbia, Mississippi",Columbia,Mississippi,0.0,0.02,-0.03,-0.01,0.02
"Columbia, Missouri",Columbia,Missouri,0.01,-0.03,0.12,0.03,0.02
"Columbia, Pennsylvania",Columbia,Pennsylvania,-0.03,0.03,-0.01,-0.0,-0.02
"Columbia, South Carolina",Columbia,South Carolina,0.13,-0.07,-0.01,0.02,0.06
"Columbia, Tennessee",Columbia,Tennessee,-0.03,0.05,0.02,0.07,-0.1
"Columbus, Georgia",Columbus,Georgia,0.03,-0.03,-0.02,-0.02,0.05
"Columbus, Indiana",Columbus,Indiana,-0.02,0.09,-0.02,0.01,-0.05
"Columbus, Mississippi",Columbus,Mississippi,0.09,0.02,-0.0,0.02,0.07
"Columbus, Nebraska",Columbus,Nebraska,-0.05,0.07,0.04,-0.03,-0.01
"Columbus, Ohio",Columbus,Ohio,0.02,-0.06,-0.03,0.02,0.02
"Commack, New York",Commack,New York,0.03,-0.01,-0.03,0.0,-0.08
"Commerce, Michigan",Commerce,Michigan,0.05,-0.02,0.07,-0.01,-0.04
"Compton, California",Compton,California,0.13,-0.14,-0.07,0.01,0.17
"Concord, California",Concord,California,-0.01,-0.01,0.06,-0.02,-0.0
"Concord, Massachusetts",Concord,Massachusetts,-0.02,0.05,0.03,-0.03,0.05
"Concord, New Hampshire",Concord,New Hampshire,-0.04,0.08,0.01,-0.03,-0.07
"Concord, North Carolina",Concord,North Carolina,-0.0,-0.04,0.06,0.0,0.04
"Connellsville, Pennsylvania",Connellsville,Pennsylvania,-0.0,0.08,0.01,0.02,-0.02
"Connersville, Indiana",Connersville,Indiana,-0.02,-0.01,0.01,0.03,-0.04
"Conroe, Texas",Conroe,Texas,-0.02,0.07,0.01,0.01,-0.04
"Conway, Arkansas",Conway,Arkansas,-0.03,0.03,0.04,-0.0,-0.04
"Conway, South Carolina",Conway,South Carolina,-0.02,0.03,0.02,0.02,-0.01
"Conyers, Georgia",Conyers,Georgia,0.0,0.04,0.01,-0.0,-0.02
"Cookeville, Tennessee",Cookeville,Tennessee,0.01,-0.02,0.07,-0.04,0.01
"Coon Rapids, Minnesota",Coon Rapids,Minnesota,-0.01,-0.01,0.09,0.0,-0.09
"Cooper City, Florida",Cooper City,Florida,0.04,-0.02,0.08,0.01,-0.02
"Coopersburg, Pennsylvania",Coopersburg,Pennsylvania,0.01,-0.06,0.07,-0.01,0.0
"Coopersville, Michigan",Coopersville,Michigan,-0.0,-0.02,0.02,0.02,-0.05
"Coos Bay, Oregon",Coos Bay,Oregon,-0.03,-0.03,0.08,-0.01,-0.04
"Copiague, New York",Copiague,New York,0.02,0.03,-0.01,-0.02,-0.03
"Copley, Ohio",Copley,Ohio,-0.01,0.02,0.04,-0.02,0.01
"Coppell, Texas",Coppell,Texas,0.04,-0.04,0.04,-0.02,-0.04
"Copperas Cove, Texas",Copperas Cove,Texas,-0.06,-0.02,-0.04,0.05,-0.11
"Coral Gables, Florida",Coral Gables,Florida,0.04,-0.01,0.01,0.01,0.04
"Coral Springs, Florida",Coral Springs,Florida,0.04,0.03,-0.01,0.01,0.01
"Coram, New York",Coram,New York,-0.0,0.05,0.0,-0.02,-0.04
"Corbin, Kentucky",Corbin,Kentucky,-0.04,0.07,-0.02,0.04,-0.03
"Cordova, Tennessee",Cordova,Tennessee,-0.03,0.01,0.02,0.0,-0.05
"Corinth, Mississippi",Corinth,Mississippi,-0.01,-0.02,0.07,0.01,0.0
"Corning, New York",Corning,New York,-0.02,0.02,0.02,0.04,-0.05
"Corona, California",Corona,California,0.04,-0.04,0.0,-0.01,0.03
"Corona, New York",Corona,New York,-0.01,0.08,-0.07,-0.07,0.02
"Coronado, California",Coronado,California,0.01,-0.02,0.02,-0.03,0.02
"Corpus Christi, Texas",Corpus Christi,Texas,0.01,-0.08,-0.0,-0.04,0.05
"Corsicana, Texas",Corsicana,Texas,-0.05,0.01,0.04,-0.01,-0.01
"Cortland, New York",Cortland,New York,-0.05,0.05,0.04,0.03,-0.02
"Cortland, Ohio",Cortland,Ohio,0.01,0.02,0.05,-0.01,-0.03
"Corvallis, Oregon",Corvallis,Oregon,-0.09,-0.08,0.06,0.03,-0.01
"Corydon, Indiana",Corydon,Indiana,-0.02,0.05,0.02,0.0,-0.11
"Coshocton, Ohio",Coshocton,Ohio,-0.0,0.02,0.04,0.01,-0.06
"Costa Mesa, California",Costa Mesa,California,-0.01,-0.05,0.06,-0.0,0.06
"Cottage Grove, Minnesota",Cottage Grove,Minnesota,-0.03,-0.02,0.1,0.02,-0.04
"Cottage Grove, Oregon",Cottage Grove,Oregon,-0.04,0.01,0.04,-0.0,-0.02
"Cottonwood Heights, Utah",Cottonwood Heights,Utah,-0.0,-0.0,0.04,0.0,-0.07
"Cottonwood, Arizona",Cottonwood,Arizona,-0.03,0.03,0.04,-0.02,-0.04
"Council Bluffs, Iowa",Council Bluffs,Iowa,0.01,0.05,-0.01,0.02,-0.09
"Coventry, Connecticut",Coventry,Connecticut,-0.02,0.06,0.04,-0.04,0.05
"Coventry, Rhode Island",Coventry,Rhode Island,0.02,-0.05,0.04,0.01,-0.01
"Covina, California",Covina,California,0.01,-0.05,0.06,0.01,0.05
"Covington, Georgia",Covington,Georgia,0.01,0.02,0.02,0.01,-0.06
"Covington, Kentucky",Covington,Kentucky,-0.01,0.05,-0.06,-0.03,-0.04
"Covington, Louisiana",Covington,Louisiana,0.02,0.03,0.07,-0.02,-0.02
"Covington, Washington",Covington,Washington,-0.02,0.06,0.01,-0.02,-0.01
"Coweta, Oklahoma",Coweta,Oklahoma,-0.02,0.05,0.01,-0.02,-0.06
"Cranford, New Jersey",Cranford,New Jersey,0.02,0.01,0.03,0.01,-0.0
"Cranston, Rhode Island",Cranston,Rhode Island,-0.01,0.12,-0.01,-0.0,-0.04
"Crawfordsville, Indiana",Crawfordsville,Indiana,-0.03,0.09,-0.02,0.01,-0.09
"Crescent City, California",Crescent City,California,-0.03,-0.0,0.05,0.04,-0.05
"Crestline, California",Crestline,California,0.02,-0.06,0.05,-0.01,0.02
"Crestview, Florida",Crestview,Florida,-0.04,0.02,0.06,-0.0,0.02
"Crestwood, Kentucky",Crestwood,Kentucky,-0.04,0.02,0.03,0.04,-0.06
"Crete, Illinois",Crete,Illinois,-0.02,0.03,-0.01,0.0,-0.05
"Crofton, Maryland",Crofton,Maryland,0.06,-0.04,0.02,-0.04,-0.02
"Cromwell, Connecticut",Cromwell,Connecticut,0.01,-0.01,0.02,-0.0,-0.06
"Crosby, Texas",Crosby,Texas,-0.0,0.01,0.03,-0.01,-0.06
"Crossett, Arkansas",Crossett,Arkansas,0.0,0.04,-0.02,0.02,-0.1
"Crossville, Tennessee",Crossville,Tennessee,-0.02,0.04,0.01,0.01,-0.04
"Crowley, Texas",Crowley,Texas,-0.0,0.02,-0.01,0.01,-0.04
"Crown Point, Indiana",Crown Point,Indiana,0.03,0.08,0.02,-0.01,-0.03
"Croydon, Pennsylvania",Croydon,Pennsylvania,0.03,0.05,-0.02,0.0,-0.03
"Crystal Lake, Illinois",Crystal Lake,Illinois,0.02,0.06,0.0,0.03,-0.09
"Crystal River, Florida",Crystal River,Florida,-0.03,0.08,0.04,0.01,-0.08
"Crystal, Minnesota",Crystal,Minnesota,-0.0,0.05,0.0,-0.01,-0.0
"Cudahy, Wisconsin",Cudahy,Wisconsin,-0.02,0.07,-0.01,0.0,-0.03
"Cullman, Alabama",Cullman,Alabama,0.03,0.04,0.08,0.04,-0.05
"Culpeper, Virginia",Culpeper,Virginia,-0.0,0.05,0.04,0.02,-0.06
"Culver City, California",Culver City,California,0.01,-0.03,-0.03,-0.06,0.05
"Cumberland, Maryland",Cumberland,Maryland,-0.0,0.06,-0.01,0.01,-0.01
"Cumberland, Rhode Island",Cumberland,Rhode Island,-0.04,0.07,0.01,-0.03,-0.02
"Cumming, Georgia",Cumming,Georgia,-0.0,-0.02,0.04,0.01,-0.1
"Cupertino, California",Cupertino,California,-0.07,0.01,0.07,-0.09,-0.03
"Cuyahoga Falls, Ohio",Cuyahoga Falls,Ohio,-0.01,0.02,0.06,0.01,0.0
"Cypress, California",Cypress,California,0.03,-0.01,0.07,-0.07,0.02
"Cypress, Texas",Cypress,Texas,0.03,-0.01,0.08,0.02,-0.04
"Dacula, Georgia",Dacula,Georgia,-0.01,0.01,0.04,-0.02,-0.02
"Dade City, Florida",Dade City,Florida,-0.02,0.0,0.0,-0.02,-0.04
"Dahlonega, Georgia",Dahlonega,Georgia,-0.0,-0.01,0.05,-0.0,0.04
"Dale City, Virginia",Dale City,Virginia,-0.01,0.0,0.01,-0.03,0.02
"Dallas, Georgia",Dallas,Georgia,0.05,0.02,0.04,-0.01,-0.03
"Dallas, North Carolina",Dallas,North Carolina,-0.0,0.04,0.0,0.02,-0.16
"Dallas, Oregon",Dallas,Oregon,-0.04,-0.01,0.04,-0.01,0.03
"Dallas, Texas",Dallas,Texas,0.08,-0.07,-0.02,-0.01,0.09
"Dallastown, Pennsylvania",Dallastown,Pennsylvania,-0.0,0.02,0.04,-0.01,-0.07
"Dalton, Georgia",Dalton,Georgia,-0.03,0.13,-0.07,-0.0,0.01
"Daly City, California",Daly City,California,-0.03,0.05,0.02,-0.04,-0.01
"Damascus, Maryland",Damascus,Maryland,-0.0,0.01,0.04,-0.04,-0.06
"Dana Point, California",Dana Point,California,0.0,0.0,0.07,-0.01,0.07
"Danbury, Connecticut",Danbury,Connecticut,0.02,0.04,-0.06,-0.02,0.02
"Danvers, Massachusetts",Danvers,Massachusetts,-0.04,0.03,-0.0,-0.0,0.02
"Danville, California",Danville,California,0.08,-0.03,0.01,-0.05,0.08
"Danville, Illinois",Danville,Illinois,-0.07,0.09,-0.02,0.0,-0.05
"Danville, Indiana",Danville,Indiana,-0.03,-0.02,0.03,0.01,-0.01
"Danville, Kentucky",Danville,Kentucky,0.02,0.04,0.0,-0.0,0.06
"Danville, Pennsylvania",Danville,Pennsylvania,-0.02,0.0,0.06,0.04,-0.13
"Danville, Virginia",Danville,Virginia,0.01,0.02,-0.0,0.01,-0.09
"Daphne, Alabama",Daphne,Alabama,-0.01,0.02,0.07,-0.01,-0.01
"Darby, Pennsylvania",Darby,Pennsylvania,-0.01,0.02,-0.04,0.01,0.03
"Darien, Illinois",Darien,Illinois,0.05,-0.0,0.01,-0.03,-0.06
"Darlington, South Carolina",Darlington,South Carolina,-0.02,-0.01,0.06,0.02,-0.05
"Dartmouth, Massachusetts",Dartmouth,Massachusetts,0.01,0.01,-0.02,0.02,-0.04
"Davenport, Iowa",Davenport,Iowa,0.01,0.02,0.01,-0.01,-0.13
"Davie, Florida",Davie,Florida,-0.0,0.01,0.0,-0.02,0.04
"Davis, California",Davis,California,-0.02,0.0,0.06,-0.07,0.03
"Davison, Michigan",Davison,Michigan,-0.05,-0.02,0.1,0.02,0.01
"Dawsonville, Georgia",Dawsonville,Georgia,0.01,0.03,0.03,-0.0,-0.12
"Dayton, Ohio",Dayton,Ohio,-0.04,0.0,-0.06,0.01,0.0
"Daytona Beach, Florida",Daytona Beach,Florida,0.02,-0.06,0.07,-0.01,-0.02
"De Pere, Wisconsin",De Pere,Wisconsin,0.03,-0.03,0.01,-0.02,-0.02
"Dearborn Heights, Michigan",Dearborn Heights,Michigan,0.03,0.06,0.01,0.02,-0.02
"Dearborn, Michigan",Dearborn,Michigan,-0.02,0.07,0.03,-0.04,0.02
"Decatur, Alabama",Decatur,Alabama,0.0,0.03,0.02,0.01,-0.03
"Decatur, Georgia",Decatur,Georgia,0.06,-0.15,-0.12,0.04,0.11
"Decatur, Illinois",Decatur,Illinois,-0.03,0.01,0.0,0.09,-0.06
"Decatur, Indiana",Decatur,Indiana,-0.01,0.04,-0.01,0.02,-0.01
"Decorah, Iowa",Decorah,Iowa,0.02,-0.04,0.06,-0.03,0.03
"Dededo, NULL",Dededo,NULL,-0.03,0.02,0.08,0.01,-0.01
"Dedham, Massachusetts",Dedham,Massachusetts,-0.01,0.01,0.02,-0.02,-0.09
"Deer Park, New York",Deer Park,New York,0.04,0.03,0.03,-0.02,-0.01
"Deer Park, Texas",Deer Park,Texas,0.04,0.01,0.02,-0.0,-0.08
"Deerfield Beach, Florida",Deerfield Beach,Florida,0.02,-0.01,0.05,0.02,0.0
"Deerfield, Illinois",Deerfield,Illinois,0.01,-0.02,0.06,0.01,-0.04
"Defiance, Ohio",Defiance,Ohio,0.0,0.05,0.05,-0.01,-0.1
"Dekalb, Illinois",Dekalb,Illinois,-0.01,-0.03,-0.02,-0.07,0.03
"Del City, Oklahoma",Del City,Oklahoma,-0.0,0.01,0.06,-0.0,0.07
"Del Rio, Texas",Del Rio,Texas,-0.02,-0.04,0.03,0.03,0.0
"Deland, Florida",Deland,Florida,0.03,0.09,0.02,-0.01,-0.03
"Delano, California",Delano,California,-0.0,-0.01,0.01,0.0,0.02
"Delaware, Ohio",Delaware,Ohio,-0.02,-0.0,0.05,0.02,-0.01
"Delray Beach, Florida",Delray Beach,Florida,0.02,-0.01,-0.02,0.03,0.09
"Deltona, Florida",Deltona,Florida,-0.06,0.03,-0.01,0.04,-0.05
"Denham Springs, Louisiana",Denham Springs,Louisiana,-0.01,0.09,-0.0,-0.01,-0.09
"Denison, Texas",Denison,Texas,-0.0,-0.01,0.04,0.03,0.03
"Denton, Texas",Denton,Texas,-0.0,0.07,0.03,-0.01,0.04
"Denver, Colorado",Denver,Colorado,0.01,-0.08,0.01,0.02,0.08
"Denville, New Jersey",Denville,New Jersey,0.02,-0.01,0.02,-0.01,0.01
"Depew, New York",Depew,New York,-0.03,0.04,0.06,0.02,-0.03
"Derby, Kansas",Derby,Kansas,0.06,-0.04,0.03,-0.02,-0.09
"Deridder, Louisiana",Deridder,Louisiana,-0.01,0.03,0.04,0.01,-0.07
"Derry, New Hampshire",Derry,New Hampshire,-0.01,0.05,-0.01,-0.05,-0.02
"Des Moines, Iowa",Des Moines,Iowa,-0.02,-0.0,-0.02,-0.03,-0.04
"Des Moines, Washington",Des Moines,Washington,-0.0,0.0,0.03,0.01,-0.0
"Des Plaines, Illinois",Des Plaines,Illinois,-0.0,-0.0,0.06,-0.03,-0.1
"Desoto, Texas",Desoto,Texas,-0.01,-0.07,0.01,0.07,-0.01
"Destin, Florida",Destin,Florida,0.01,0.02,0.01,0.02,-0.03
"Destrehan, Louisiana",Destrehan,Louisiana,0.03,0.03,-0.02,-0.01,-0.01
"Detroit Lakes, Minnesota",Detroit Lakes,Minnesota,-0.02,0.03,0.02,-0.01,-0.01
"Detroit, Michigan",Detroit,Michigan,0.13,-0.13,-0.18,0.09,0.06
"Devils Lake, North Dakota",Devils Lake,North Dakota,0.01,0.02,0.07,0.02,-0.01
"Dewitt, Michigan",Dewitt,Michigan,-0.0,-0.04,0.03,0.04,-0.0
"Dexter, Michigan",Dexter,Michigan,0.01,0.03,0.02,0.02,-0.04
"Diamond Bar, California",Diamond Bar,California,-0.0,-0.02,0.03,-0.03,-0.04
"Dickinson, North Dakota",Dickinson,North Dakota,0.01,0.06,0.06,0.02,-0.06
"Dickinson, Texas",Dickinson,Texas,0.01,0.02,0.06,-0.01,0.01
"Dickson, Tennessee",Dickson,Tennessee,-0.04,0.06,0.03,-0.01,-0.01
"Dinuba, California",Dinuba,California,-0.02,0.06,0.02,-0.0,-0.07
"Dix Hills, New York",Dix Hills,New York,0.0,0.02,0.01,0.02,-0.06
"Dixon, California",Dixon,California,-0.02,0.08,-0.03,-0.03,0.07
"Dixon, Illinois",Dixon,Illinois,-0.04,0.0,0.03,0.01,-0.05
"Dodge City, Kansas",Dodge City,Kansas,-0.01,0.01,0.05,0.02,-0.07
"Dolton, Illinois",Dolton,Illinois,0.04,-0.02,0.01,0.02,-0.02
"Dorchester, Massachusetts",Dorchester,Massachusetts,-0.02,0.0,-0.03,0.02,0.07
"Dothan, Alabama",Dothan,Alabama,0.04,-0.04,-0.01,0.0,0.05
"Douglas, Arizona",Douglas,Arizona,0.02,-0.02,-0.0,0.03,0.01
"Douglas, Georgia",Douglas,Georgia,0.01,-0.01,0.05,-0.01,0.02
"Douglasville, Georgia",Douglasville,Georgia,0.04,0.03,0.04,0.01,0.02
"Dover, Delaware",Dover,Delaware,0.01,-0.01,-0.06,-0.01,-0.08
"Dover, New Hampshire",Dover,New Hampshire,-0.0,0.05,-0.0,-0.0,0.02
"Dover, New Jersey",Dover,New Jersey,0.01,0.04,-0.05,-0.01,-0.07
"Dover, Ohio",Dover,Ohio,-0.01,0.07,0.03,0.01,0.0
"Dover, Pennsylvania",Dover,Pennsylvania,0.0,0.03,0.03,-0.01,-0.03
"Downers Grove, Illinois",Downers Grove,Illinois,-0.02,0.01,0.01,-0.05,-0.07
"Downey, California",Downey,California,0.01,-0.04,0.05,-0.01,0.08
"Downingtown, Pennsylvania",Downingtown,Pennsylvania,-0.02,0.05,-0.01,-0.05,-0.07
"Doylestown, Pennsylvania",Doylestown,Pennsylvania,0.01,0.0,-0.02,-0.04,-0.08
"Dracut, Massachusetts",Dracut,Massachusetts,0.01,0.06,0.05,-0.03,0.07
"Draper, Utah",Draper,Utah,0.06,-0.06,0.12,0.02,0.01
"Drexel Hill, Pennsylvania",Drexel Hill,Pennsylvania,-0.03,0.07,0.0,-0.02,-0.04
"Dripping Springs, Texas",Dripping Springs,Texas,-0.01,0.02,-0.01,-0.02,-0.05
"Duarte, California",Duarte,California,0.0,0.07,-0.02,-0.06,0.0
"Dublin, California",Dublin,California,0.04,0.05,0.02,-0.06,0.03
"Dublin, Georgia",Dublin,Georgia,0.01,0.02,0.04,0.02,0.01
"Dublin, Ohio",Dublin,Ohio,0.05,-0.04,0.04,0.01,-0.05
"Dubuque, Iowa",Dubuque,Iowa,-0.01,0.06,0.08,-0.03,-0.07
"Duluth, Georgia",Duluth,Georgia,0.02,-0.06,0.06,-0.03,-0.11
"Duluth, Minnesota",Duluth,Minnesota,-0.03,-0.01,0.03,0.02,-0.05
"Dumont, New Jersey",Dumont,New Jersey,-0.04,0.06,0.0,0.01,-0.1
"Duncan, Oklahoma",Duncan,Oklahoma,0.0,-0.02,0.07,0.03,-0.02
"Duncanville, Texas",Duncanville,Texas,-0.0,-0.06,-0.02,-0.01,-0.03
"Dundalk, Maryland",Dundalk,Maryland,-0.02,0.05,-0.02,-0.03,-0.06
"Dunedin, Florida",Dunedin,Florida,-0.01,-0.02,0.03,-0.03,-0.07
"Dunkirk, New York",Dunkirk,New York,-0.03,0.06,0.01,-0.01,-0.05
"Dunmore, Pennsylvania",Dunmore,Pennsylvania,0.0,0.07,-0.09,0.01,-0.08
"Dunn, North Carolina",Dunn,North Carolina,0.01,-0.0,0.01,0.03,0.01
"Dunwoody, Georgia",Dunwoody,Georgia,0.02,-0.03,0.01,-0.02,0.03
"Durango, Colorado",Durango,Colorado,-0.02,-0.01,0.02,0.02,0.06
"Durant, Oklahoma",Durant,Oklahoma,-0.01,-0.02,0.09,0.01,0.01
"Durham, North Carolina",Durham,North Carolina,0.04,-0.05,-0.0,-0.01,0.0
"Duval, Florida",Duval,Florida,0.03,-0.05,0.06,-0.01,0.04
"Duvall, Washington",Duvall,Washington,-0.01,-0.02,0.04,-0.01,-0.07
"Dyer, Indiana",Dyer,Indiana,-0.0,0.04,-0.03,-0.03,-0.0
"Dyersburg, Tennessee",Dyersburg,Tennessee,-0.0,0.01,0.03,-0.01,-0.05
"Eagan, Minnesota",Eagan,Minnesota,0.05,0.02,0.11,-0.01,-0.16
"Eagle Pass, Texas",Eagle Pass,Texas,-0.0,-0.04,-0.01,0.0,0.03
"Eagle River, Alaska",Eagle River,Alaska,-0.04,-0.01,0.03,0.0,0.04
"Eagle Rock, California",Eagle Rock,California,-0.01,0.04,0.0,-0.02,0.04
"Eagle, Idaho",Eagle,Idaho,0.01,-0.03,0.03,-0.01,-0.06
"Earth City, Missouri",Earth City,Missouri,-0.02,-0.03,0.04,-0.03,0.05
"Easley, South Carolina",Easley,South Carolina,0.0,0.01,-0.0,-0.01,-0.09
"East Aurora, New York",East Aurora,New York,0.02,-0.01,-0.02,-0.01,-0.05
"East Boston, Massachusetts",East Boston,Massachusetts,0.01,0.06,-0.07,0.01,-0.03
"East Brunswick, New Jersey",East Brunswick,New Jersey,-0.03,0.08,-0.07,-0.04,-0.02
"East Chicago, Indiana",East Chicago,Indiana,0.05,-0.06,0.01,0.03,0.03
"East Cleveland, Ohio",East Cleveland,Ohio,-0.01,-0.04,0.01,-0.02,0.04
"East Elmhurst, New York",East Elmhurst,New York,-0.03,0.02,-0.04,-0.03,0.07
"East Grand Forks, Minnesota",East Grand Forks,Minnesota,0.01,0.0,0.04,-0.01,-0.12
"East Grand Rapids, Michigan",East Grand Rapids,Michigan,-0.05,0.04,-0.04,-0.02,-0.03
"East Greenbush, New York",East Greenbush,New York,-0.01,0.04,0.02,-0.01,-0.08
"East Hampton, Connecticut",East Hampton,Connecticut,-0.0,-0.0,0.04,-0.02,0.03
"East Hartford, Connecticut",East Hartford,Connecticut,0.01,0.12,-0.03,-0.02,0.02
"East Haven, Connecticut",East Haven,Connecticut,0.04,0.07,0.01,-0.04,-0.03
"East Islip, New York",East Islip,New York,0.0,0.05,-0.04,-0.05,-0.06
"East Lansing, Michigan",East Lansing,Michigan,-0.01,0.02,-0.04,-0.01,0.06
"East Liverpool, Ohio",East Liverpool,Ohio,-0.01,0.11,-0.03,-0.01,-0.1
"East Longmeadow, Massachusetts",East Longmeadow,Massachusetts,0.01,-0.0,0.01,-0.01,-0.07
"East Los Angeles, California",East Los Angeles,California,0.04,-0.04,-0.02,0.02,0.17
"East Meadow, New York",East Meadow,New York,-0.02,0.08,0.01,-0.01,-0.02
"East Moline, Illinois",East Moline,Illinois,-0.02,0.05,0.01,0.03,-0.07
"East New York, New York",East New York,New York,0.01,0.04,-0.05,-0.04,0.04
"East Northport, New York",East Northport,New York,0.03,0.03,0.03,-0.01,-0.01
"East Orange, New Jersey",East Orange,New Jersey,0.03,-0.08,-0.07,0.02,0.13
"East Palo Alto, California",East Palo Alto,California,0.05,-0.03,-0.02,-0.02,0.02
"East Peoria, Illinois",East Peoria,Illinois,-0.01,0.05,0.03,0.0,-0.02
"East Point, Georgia",East Point,Georgia,0.04,-0.05,0.02,0.01,0.03
"East Providence, Rhode Island",East Providence,Rhode Island,-0.03,-0.0,0.04,0.01,-0.09
"East Saint Louis, Illinois",East Saint Louis,Illinois,-0.02,-0.1,0.02,0.05,0.07
"East Stroudsburg, Pennsylvania",East Stroudsburg,Pennsylvania,-0.01,0.03,-0.01,0.0,0.01
"East Wenatchee, Washington",East Wenatchee,Washington,-0.01,0.02,0.04,-0.0,-0.09
"Easthampton, Massachusetts",Easthampton,Massachusetts,-0.01,-0.01,0.05,0.02,-0.01
"Eastlake, Ohio",Eastlake,Ohio,0.03,0.01,0.08,0.02,-0.04
"Easton, Maryland",Easton,Maryland,-0.0,0.03,0.07,0.01,0.0
"Easton, Massachusetts",Easton,Massachusetts,-0.01,0.03,0.0,0.02,-0.07
"Easton, Pennsylvania",Easton,Pennsylvania,-0.04,0.04,-0.06,-0.02,-0.01
"Eastpointe, Michigan",Eastpointe,Michigan,-0.0,0.02,0.02,-0.01,0.0
"Eaton Rapids, Michigan",Eaton Rapids,Michigan,0.03,0.03,0.01,0.01,-0.0
"Eaton, Ohio",Eaton,Ohio,-0.03,0.04,-0.04,-0.0,-0.02
"Eatonville, Washington",Eatonville,Washington,0.0,-0.01,0.01,0.03,-0.09
"Eau Claire, Wisconsin",Eau Claire,Wisconsin,-0.06,0.0,0.06,-0.01,-0.04
"Eden Prairie, Minnesota",Eden Prairie,Minnesota,0.06,-0.07,0.05,0.04,0.01
"Eden, North Carolina",Eden,North Carolina,-0.01,0.04,0.0,-0.01,0.01
"Edgewood, Maryland",Edgewood,Maryland,-0.04,0.05,-0.01,0.0,-0.08
"Edgewood, New Mexico",Edgewood,New Mexico,-0.01,0.03,0.01,-0.0,0.04
"Edina, Minnesota",Edina,Minnesota,0.0,-0.03,0.08,-0.02,-0.01
"Edinburg, Texas",Edinburg,Texas,0.09,-0.12,0.02,0.03,0.03
"Edison, New Jersey",Edison,New Jersey,-0.05,0.1,-0.07,-0.06,0.03
"Edmond, Oklahoma",Edmond,Oklahoma,0.05,-0.05,0.09,0.03,0.02
"Edmonds, Washington",Edmonds,Washington,0.04,-0.02,0.08,-0.03,-0.0
